GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SimpleWebApplication Maven Webapp,com.example.javamavenjunithelloworld,Hello,0,62,0,6,0,14,0,8,0,5
SimpleWebApplication Maven Webapp,com.example.javamavenjunithelloworld,HelloApp,4,62,0,2,2,17,0,4,0,3
